Date,UniqueID,Rep_vol_L,comp_start_time,start_time,end_time
2023-06-14,A1-1,0.051522076,15:08:00,19:08,19:11
2023-06-14,A1-2,0.039426955,15:02:00,19:02,19:05
2023-06-14,A1-3,0.050579599,15:13:00,19:13,19:16
2023-06-14,H1-1,0.050736679,15:25:30,19:25,19:28
2023-06-14,H1-2,0.0628318,15:39:30,19:39,19:41
2023-06-14,H1-3,0.05026544,15:30:00,19:30,19:33
2023-06-14,G1-1,0.101787516,16:01:00,20:01,20:04
2023-06-14,G1-2,0.130375985,15:48:00,19:48,19:51
2023-06-14,G1-3,0.11309724,15:54:00,19:54,19:57
2023-06-14,G4-1,0.05042252,13:57:00,17:57,18:00
2023-06-14,G4-2,0.054977825,13:43:30,17:43,17:46
2023-06-14,G4-3,0.068015424,13:50:00,17:50,17:53
2023-06-30,H1-1,0.050736679,10:10:00,14:10,14:13
2023-06-30,H1-2,0.0628318,10:02:30,14:02,14:05
2023-06-30,H1-3,0.05026544,10:20:00,14:20,14:23
2023-06-30,A1-1,0.051522076,10:49:20,14:49,14:52
2023-06-30,A1-2,0.039426955,11:16:20,15:16,15:19
2023-06-30,A1-3,0.050579599,11:09:00,15:09,15:12
2023-06-30,G1-1,0.101787516,13:54:00,17:54,17:57
2023-06-30,G1-2,0.130375985,13:46:00,17:46,17:49
2023-06-30,G1-3,0.11309724,14:10:40,18:10,18:13
2023-06-30,G4-1,0.05042252,14:39:30,18:39,18:42
2023-06-30,G4-2,0.054977825,14:32:30,18:32,18:35
2023-06-30,G4-3,0.068015424,14:26:30,18:26,18:29