Date,Plot,Tree_ID,Tree_sp,Measurement height,Chamber ID,Corrected Start Time,Corrected End Time,HMS_Start,HMS_End,Gas_analyser
210806,Lowland,AB 4/6,FAGR,50,3,90000,91000,9:00:00,9:10:00,LGR3
210806,Lowland,AB 4/6,FAGR,125,3,91130,92130,9:11:30,9:21:30,LGR3
210806,Lowland,AB 4/6,FAGR,200,3,92300,93300,9:23:00,9:33:00,LGR3
210806,Lowland,AB 3/5,FAGR,50,6,93500,94500,9:35:00,9:45:00,LGR3
210806,Lowland,AB 3/5,FAGR,125,6,94700,95700,9:47:00,9:57:00,LGR3
210806,Lowland,AB 3/5,FAGR,200,6,95900,100900,9:59:00,10:09:00,LGR3
210806,Lowland,AB 6prime,FAGR,50,6,101100,102100,10:11:00,10:21:00,LGR3
210806,Lowland,AB 6prime,FAGR,125,6,102700,103400,10:27:00,10:34:00,LGR3
210806,Lowland,AB 6prime,FAGR,200,6,103600,104600,10:36:00,10:46:00,LGR3
210806,Lowland,ABT 14P,FAGR,50,3,112100,113100,11:21:00,11:31:00,LGR3
210806,Lowland,ABT 14P,FAGR,125,3,113300,114300,11:33:00,11:43:00,LGR3
210806,Lowland,ABT 14P,FAGR,200,3,114400,115400,11:44:00,11:54:00,LGR3
210806,Lowland,YBYB,BEAL,50,3,123300,123800,12:33:00,12:38:00,LGR3
210806,Lowland,YBYB,BEAL,125,3,124300,125300,12:43:00,12:53:00,LGR3
210806,Lowland,YBYB,BEAL,200,3,125700,130700,12:57:00,13:07:00,LGR3
210806,Lowland,YB CUL8R,BEAL,50,3,,,,,LGR3
210806,Lowland,YB CUL8R,BEAL,125,3,132700,133100,13:27:00,13:31:00,LGR3
210806,Lowland,YB CUL8R,BEAL,200,3,133400,134200,13:34:00,13:42:00,LGR3
210806,Ridge,7809,KALA,Root Crown,2,144900,145400,14:49:00,14:54:00,LGR3
210806,Ridge,7809,KALA,75 cm,2,145630,150130,14:56:30,15:01:30,LGR3
210804,Lowland,BB1,BELE,50,6,141200,142200,14:12:00,14:22:00,LGR3
210804,Lowland,BB1,BELE,125,6,142500,143500,14:25:00,14:35:00,LGR3
210804,Lowland,BB1,BELE,200,6,143700,144700,14:37:00,14:47:00,LGR3
210804,Lowland,AB1,FAGR,50,6,145200,150200,14:52:00,15:02:00,LGR3
210804,Lowland,AB1,FAGR,125,6,150600,151200,15:06:00,15:12:00,LGR3
210804,Lowland,AB1,FAGR,200,6,151700,152200,15:17:00,15:22:00,LGR3